1D Fundamental Diagram ;;;
RiMEA Test Case 16;;;
;;;
Density ;v 10% ;v 50% ;v 90% 
/1/m ;/m/s ;/m/s ;/m/s 
0,0989 ;0,9607 ;1,1857 ;1,483 
0,2989 ;0,83954 ;1,1595 ;1,4725 
0,4989 ;0,7083 ;1,091 ;1,3887 
0,6989 ;0,5978 ;0,9748 ;1,3053 
0,8989 ;0,4475 ;0,7472 ;1,1008 
1,0989 ;0,3157 ;0,5195 ;0,8395 
1,2989 ;0,1872 ;0,3925 ;0,6077 
1,4989 ;0,112 ;0,2733 ;0,485 
1,6989 ;0,0705 ;0,1988 ;0,3822 
1,8989 ;0,048 ;0,1577 ;0,314 
2,0989 ;0,0347 ;0,1313 ;0,2702 
2,2989 ;0,0267 ;0,1138 ;0,239 
2,4989 ;0,022 ;0,102 ;0,2202 
2,6989 ;0,019 ;0,0935 ;0,2078 
2,8989 ;0,017 ;0,086 ;0,1958 
3,0989 ;0,0157 ;0,0807 ;0,186 
3,2989 ;0,0135 ;0,076 ;0,1785 
3,4989 ;0,0128 ;0,0695 ;0,1745 
3,6989 ;0,0118 ;0,0675 ;0,1725 
3,8989 ;0,0112 ;0,0637 ;0,1689 
4,0989 ;0,0112 ;0,064 ;0,1721 
4,2989 ;0,0118 ;0,066 ;0,169 
4,4989 ;0,0128 ;0,0665 ;0,1673 
4,6989 ;0,0107 ;0,0587 ;0,17027 
4,8989 ;0,0088 ;0,0623 ;0,1933 
5,0989 ;0,0085 ;0,0605 ;0,17608 
5,2989 ;0,0103 ;0,06425 ;0,1799 
5,4989 ;0,0082 ;0,0667 ;0,19374 
5,6989 ;0,01074 ;0,0638 ;0,18676 
5,8989 ;0,0115 ;0,059 ;0,19479 
6,0989 ;0,0085 ;0,0576 ;0,18426 
6,2989 ;0,00946 ;0,07 ;0,1803 
6,4989 ;0,011 ;0,1087 ;0,2128 
6,6989 ;0,01736 ;0,1024 ;0,22065 
